,S.No.,Name,Market Cap(Cr),Sales Quarterly(Cr)
211,310,Carborundum Uni.,6838.18,611.59
212,311,Can Fin Homes,6811.5,392.1
213,312,Sadbhav Engg.,6795.06,2153.34
214,313,Advanta,6742.41,361.68
215,314,Capital First,6710.63,987.64
216,315,Lak. Mach. Works,6654.81,542.42
217,316,Himadri Specialt,6646.41,500.08
218,317,Coffee Day Enter,6601.62,965.3
219,318,PVR,6591.31,557.25
220,319,Chambal Fert.,6542.79,2330.1
221,320,Vijaya Bank,6531.58,3135.23
222,321,Welspun India,6520.67,1397.95
223,322,CEAT,6476.26,1574.15
224,323,Strides Shasun,6469.51,749.04
225,324,Narayana Hrudaya,6379.12,553.84
226,325,Jyothy Lab.,6324.62,431.21
227,326,Johnson Con. Hit,6209.11,377.4
228,327,Prism Cement,6176.23,1278.3
229,328,Tata Elxsi,6153.54,345.54
230,330,D B Corp,6059.97,598.58
231,331,Jain Irrigation,6019.89,1889.63
232,332,Persistent Sys,5996.4,791.89
233,334,Sunteck Realty,5865.04,201.5
234,335,Raymond,5863.1,1484.24
235,336,MOIL,5840.29,299.8
236,337,Bombay Dyeing,5823.25,619.93
237,338,GE Shipping Co,5802.66,584.42
238,339,Grindwell Norton,5706.51,365.42
239,340,EID Parry,5652.33,3557.94
240,342,Galaxy Surfact.,5567.11,826.95
241,343,Laurus Labs,5502.94,473.77
242,344,Guj Alkalies,5498.45,617.61
243,345,GE Power,5497.4,1278.3
244,346,Timken India,5495.76,278.58
245,348,Dishman Carbogen,5416.39,459.82
246,349,St Bk of Bikaner,5402.95,2262.28
247,350,ISGEC Heavy,9885.05,1278.3
248,351,MMTC,5300,1278.3
249,352,IFB Inds.,5293.53,531.74
250,353,eClerx Services,5259.14,339.89
251,354,Sobha,5224.11,691.9
252,355,Kirloskar Oil,5207.77,684.61
253,356,G S F C,5200.13,1537.45
254,357,CG Power & Indu.,5151.85,1516.08
255,358,Westlife Develop,5145.88,305.19
256,359,K P R Mill Ltd,5145.36,714.51
257,360,Tube Investments,5139.43,1274.21
258,361,Bajaj Electrical,5127.38,1145.13
259,362,VST Inds.,5109.25,238.97
260,363,BEML Ltd,5089.87,731.51
261,364,FDC,5084.19,248.77
262,365,DCB Bank,5080.5,610.78
263,366,Star Cement,5072.67,377.43
264,367,Netwrk.18 Media,5067.23,366.02
265,368,Gulf Oil Lubric.,5020.44,355.95
266,369,UCO Bank,5012.59,3449.55
267,370,Jagran Prakashan,4995.05,598.07
268,371,Elgi Equipment,4954.08,415.42
269,372,JK Lakshmi Cem.,4931.55,837.41
270,373,Zydus Wellness,4921.45,132.4
271,374,Equitas Holdings,4886.09,429.86
272,375,India Cements,4885.75,1213.08
273,376,Dishman Pharma.,4861.2,534.22
274,377,South Ind.Bank,4856.71,1576.96
275,378,Polaris Consulta,4830.44,680.07
276,379,V I P Inds.,4819.63,337.99
277,380,APL Apollo,4775.03,1314.38
278,381,Sadbhav Infra.,4735.67,1278.3
279,382,Jindal Stain.,4726.91,2988.86
280,383,Swan Energy,4721.49,1278.3
281,384,NIIT Tech.,4658.2,1278.3
282,385,Caplin Point Lab,4600.73,1278.3
283,386,Indian Energy Ex,4595.7,1278.3
284,387,Shoppers St.,4558.06,1278.3
285,388,Godfrey Phillips,4512.29,1278.3
286,389,Jindal Stain .Hi,4498.09,2438.58
287,390,R C F,4493.52,1985.06
288,391,Rallis India,4493.2,1278.3
289,392,Stand.Chart.PLC,4487.31,1278.3
290,393,G M D C,4456.77,1278.3
291,394,Manpasand Bever.,4406.8,1278.3
292,395,Tata Inv.Corpn.,4401.66,1278.3
293,396,Essel Propack,4371.24,1278.3
294,397,Allcargo Logist.,4369.69,1479.91
295,398,Radico Khaitan,4358.48,1278.3
296,399,Cera Sanitary.,4356.9,1278.3
297,400,BSE,9885.05,1278.3
298,401,Forbes & Co,4331.82,1278.3
299,402,S B T,4328.47,2365.94
300,403,KNR Construct.,4325.39,1278.3
301,404,PNC Infratech,4307.29,1278.3
302,405,Greenply Inds.,4295.02,1278.3
303,406,Ujjivan Fin.Ser.,4293.42,1278.3
304,407,Monsanto India,4291.43,1278.3
305,408,Vinati Organics,4279.07,1278.3
306,409,Jindal Saw,4278.31,1278.3
307,410,Lux Industries,4269.78,1278.3
308,411,Linde India,4198.33,1278.3
309,412,Ratnamani Metals,4194.31,1278.3
310,413,Cox & Kings,4179.29,1356.07
311,414,Omaxe,4168.29,1278.3
312,415,Ashoka Buildcon,4166.87,1278.3
313,416,Time Technoplast,4156.58,1278.3
314,417,Phillips Carbon,4149.67,1278.3
315,419,Welspun Corp,4103.05,2304.16
316,420,NESCO,4093.02,1278.3
317,421,CARE Ratings,4090.69,1278.3
318,422,JP Associates,4074.37,1278.3
319,424,Zensar Tech.,4066.42,793.76
320,425,S H Kelkar & Co.,4057.34,283.12
321,426,Mahindra Holiday,4030.35,267.54
322,427,Sintex Plastics,4022.02,1332.73
323,428,SREI Infra. Fin.,4009.63,1405.19
324,429,Techno Elec.,3975.44,275.64
325,430,Minda Corp,3974.83,1278.3
326,431,HMT,3973.5,1278.3
327,432,KPIT Tech.,3927.26,912.77
328,433,Triveni Turbine,3910.17,165.59
329,434,Shankara Build.,3901.07,624.62
330,435,Multi Comm. Exc.,3847.19,1278.3
331,436,Brigade Enterpr.,3846.15,423.91
332,437,Gayatri Projects,3835.73,1278.3
333,438,Magma Fincorp,3826.83,580.58
334,439,VRL Logistics,3824.69,489.34
335,440,ICRA,3809,1278.3
336,441,Shriram Pistons,3804.58,1278.3
337,442,IFCI,3789.45,1278.3
